curso,campus,forma
Técnico em Agropecuária,Pio IX,Técnico Subsequente/Concomitante
Técnico em Agropecuária,Pio IX,Técnico Integrado
Técnico em Administração,Angical,Técnico Integrado
Técnico em Alimentos,Angical,Técnico Integrado
Técnico em Alimentos,Angical,Técnico Subsequente/Concomitante
Técnico em Informática,Angical,Técnico Subsequente/Concomitante
Técnico em Informática,Angical,Técnico Integrado
Técnico em Administração,Campo Maior,Técnico Integrado
Técnico em Administração,Campo Maior,Técnico Subsequente/Concomitante
Técnico em Agropecuária,Campo Maior,Técnico Integrado
Técnico em Agropecuária,Campo Maior,Técnico Subsequente/Concomitante
Técnico em Agropecuária,Campo Maior,Técnico Integrado EJA
Técnico em Desenvolvimento de Sistemas,Campo Maior,Técnico Subsequente/Concomitante
Técnico em Informática,Campo Maior,Técnico Integrado
Técnico em Logística,Campo Maior,Técnico Subsequente/Concomitante
Técnico em Administração,Cocal,Técnico Integrado
Técnico em Agropecuária,Cocal,Técnico Integrado
Técnico em Administração,Corrente,Técnico Integrado
Técnico em Administração,Corrente,Técnico Integrado
Técnico em Agropecuária,Corrente,Técnico Integrado
Técnico em Comércio,Corrente,Técnico Subsequente/Concomitante
Técnico em Informática,Corrente,Técnico Integrado
Técnico em Informática,Corrente,Técnico Subsequente/Concomitante
Técnico em Informática,Corrente,Técnico Integrado
Técnico em Meio Ambiente,Corrente,Técnico Integrado
Técnico em Administração,Dirceu,Técnico Integrado
Técnico em Administração,Dirceu,Técnico Subsequente/Concomitante
Técnico em Logística,Dirceu,Técnico Integrado
Técnico em Logística,Dirceu,Técnico Subsequente/Concomitante
Técnico em Desenvolvimento de Sistemas,Floriano,Técnico Subsequente/Concomitante
Técnico em Edificações,Floriano,Técnico Subsequente/Concomitante
Técnico em Edificações,Floriano,Técnico Integrado
Técnico em Eletromecânica,Floriano,Técnico Integrado
Técnico em Eletromecânica,Floriano,Técnico Subsequente/Concomitante
Técnico em Informática,Floriano,Técnico Integrado
Técnico em Meio Ambiente,Floriano,Técnico Integrado
Técnico em Agroecologia,José de Freitas,Técnico Subsequente/Concomitante
Técnico em Agropecuária,José de Freitas,Técnico Integrado
Técnico em Agropecuária,José de Freitas,Técnico Subsequente/Concomitante
Técnico em Administração,Oeiras,Técnico Integrado
Técnico em Administração,Oeiras,Técnico Subsequente/Concomitante
Técnico em Agronegócio,Oeiras,Técnico Integrado EJA
Técnico em Agropecuária,Oeiras,Técnico Integrado
Técnico em Agropecuária,Oeiras,Técnico Subsequente/Concomitante
Técnico em Comércio,Oeiras,Técnico Subsequente/Concomitante
Técnico em Informática,Oeiras,Técnico Subsequente/Concomitante
Técnico em Administração,Parnaíba,Técnico Subsequente/Concomitante
Técnico em Administração,Parnaíba,Técnico Subsequente
Técnico em Edificações,Parnaíba,Técnico Integrado
Técnico em Edificações,Parnaíba,Técnico Integrado
Técnico em Edificações,Parnaíba,Técnico Subsequente/Concomitante
Técnico em Eletrotécnica,Parnaíba,Técnico Integrado
Técnico em Eletrotécnica,Parnaíba,Técnico Subsequente/Concomitante
Técnico em Eletrotécnica,Parnaíba,Técnico Integrado
Técnico em Informática,Parnaíba,Técnico Integrado
Técnico em Informática,Parnaíba,Técnico Subsequente/Concomitante
Técnico em Administração,Paulistana,Técnico Integrado
Técnico em Administração,Paulistana,Técnico Subsequente/Concomitante
Técnico em Agropecuária,Paulistana,Técnico Subsequente/Concomitante
Técnico em Agropecuária,Paulistana,Técnico Integrado
Técnico em Informática para Internet,Paulistana,Técnico Integrado
Técnico em Mineração,Paulistana,Técnico Integrado
Técnico em Mineração,Paulistana,Técnico Subsequente/Concomitante
Técnico em Administração,Pedro II,Técnico Integrado
Técnico em Administração,Pedro II,Técnico Subsequente/Concomitante
Técnico em Gastronomia,Pedro II,Técnico Subsequente/Concomitante
Técnico em Gastronomia,Pedro II,Técnico Integrado EJA
Técnico em Guia de Turismo,Pedro II,Técnico Subsequente
Técnico em Informática,Pedro II,Técnico Integrado
Técnico em Meio Ambiente,Pedro II,Técnico Integrado
Técnico em Serviços de Restaurante e Bar,Pedro II,Técnico Subsequente
Técnico em Administração,Picos,Técnico Integrado
Técnico em Administração,Picos,Técnico Subsequente/Concomitante
Técnico em Comércio,Picos,Técnico Integrado EJA
Técnico em Desenvolvimento de Sistemas,Picos,Técnico Subsequente/Concomitante
Técnico em Eletrotécnica,Picos,Técnico Integrado
Técnico em Eletrotécnica,Picos,Técnico Subsequente/Concomitante
Técnico em Informática,Picos,Técnico Integrado
Técnico em Informática,Picos,Técnico Subsequente/Concomitante
Técnico em Administração,Piripiri,Técnico Integrado
Técnico em Administração,Piripiri,Técnico Subsequente/Concomitante
Técnico em Informática,Piripiri,Técnico Integrado
Técnico em Informática,Piripiri,Técnico Subsequente/Concomitante
Técnico em Vestuário,Piripiri,Técnico Integrado
Técnico em Vestuário,Piripiri,Técnico Subsequente/Concomitante
Técnico em Administração,São João do Piauí,Técnico Integrado
Técnico em Agropecuária,São João Do Piauí,Técnico Integrado
Técnico em Agropecuária,São João Do Piauí,Técnico Subsequente
Técnico em Comércio,São João Do Piauí,Técnico Integrado EJA
Técnico em Administração,São Raimundo Nonato,Técnico Integrado
Técnico em Administração,São Raimundo Nonato,Técnico Subsequente/Concomitante
Técnico em Gastronomia,São Raimundo Nonato,Técnico Subsequente
Técnico em Gastronomia,São Raimundo Nonato,Técnico Integrado EJA
Técnico em Guia de Turismo,São Raimundo Nonato,Técnico Subsequente
Técnico em Informática,São Raimundo Nonato,Técnico Integrado
Técnico em Serviços de Restaurante e Bar,São Raimundo Nonato,Técnico Subsequente
Técnico em Administração,Teresina Central,Técnico Subsequente/Concomitante
Técnico em Administração,Teresina Central,Técnico Integrado
Técnico em Agrimensura,Teresina Central,Técnico Integrado
Técnico em Agroindústria,Teresina Central,Técnico Integrado
Técnico em Análises Clínicas,Teresina Central,Técnico Subsequente
